Lp.,Data,inflacja,suicide_prom
1,January 2017,1.7,10.51164713920059
2,January 2018,1.9,11.110082496135277
3,January 2019,0.7,10.355533567826326
4,January 2020,4.3,10.849893210511501
5,February 2017,2,10.459609282075835
6,February 2018,1.6,8.690322139834153
7,February 2019,1,10.043306425077793
8,February 2020,4.5,9.627003568079749
9,March 2017,2,11.708517853069965
10,March 2018,1.5,11.344252853196679
11,March 2019,1.2,10.849893210511501
12,March 2020,4.5,10.355533567826326
13,April 2017,2,11.136101424697655
14,April 2018,1.5,13.243634638250251
15,April 2019,1.5,11.682498924507588
16,April 2020,4.2,9.809136068016395
17,May 2017,2,13.894107852309691
18,May 2018,1.6,12.697237138440318
19,May 2019,1.7,12.489085709941296
20,May 2020,4,12.463066781378918
21,June 2017,1.9,11.578423210258077
22,June 2018,1.6,12.541123567066052
23,June 2019,1.8,13.087521066875984
24,June 2020,3.9,12.67121820987794
25,July 2017,1.9,12.749274995565074
26,July 2018,1.7,11.786574638757099
27,July 2019,2,11.630461067382832
28,July 2020,3.7,12.957426424064096
29,August 2017,1.9,12.228896424317519
30,August 2018,1.7,12.723256067002696
31,August 2019,2.1,12.463066781378918
32,August 2020,3.6,12.358991067129407
33,September 2017,1.9,10.797855353386746
34,September 2018,1.7,9.86117392514115
35,September 2019,2.1,10.823874281949124
36,September 2020,3.6,10.797855353386746
37,October 2017,1.9,11.396290710321434
38,October 2018,1.7,10.849893210511501
39,October 2019,2.2,11.864631424444232
40,October 2020,3.5,11.682498924507588
41,November 2017,2,9.913211782265904
42,November 2018,1.7,10.51164713920059
43,November 2019,2.2,10.64174178201248
44,November 2020,3.5,9.86117392514115
45,December 2017,2,10.901931067636257
46,December 2018,1.6,9.470889996705482
47,December 2019,2.3,10.797855353386746
48,December 2020,3.4,10.953968924761012
